jam_id,type,level,severity,line_coordinates,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,publish_datetime_utc,update_datetime_utc,country,city,street
1821305058,NONE,3,5,"[{'lat': -6.259385, 'lon': 106.74216}, {'lat': -6.259412, 'lon': 106.742046}, {'lat': -6.259576, 'lon': 106.741601}, {'lat': -6.259731, 'lon': 106.74128}, {'lat': -6.259964, 'lon': 106.74083}, {'lat': -6.260405, 'lon': 106.740094}, {'lat': -6.260439, 'lon': 106.740042}, {'lat': -6.260605, 'lon': 106.739787}, {'lat': -6.260889, 'lon': 106.739325}, {'lat': -6.26108, 'lon': 106.739074}, {'lat': -6.261207, 'lon': 106.738909}]",,,7.73,414,135,,,,,,2023-11-19T03:47:52.814Z,2023-11-19T03:49:09.700Z,ID,Tangerang Selatan,Ceger Raya
1821262316,NONE,3,5,"[{'lat': -6.148159, 'lon': 106.909616}, {'lat': -6.148384, 'lon': 106.909602}, {'lat': -6.149247, 'lon': 106.909564}, {'lat': -6.150441, 'lon': 106.909496}, {'lat': -6.150427, 'lon': 106.90927}, {'lat': -6.149401, 'lon': 106.909344}, {'lat': -6.148325, 'lon': 106.909408}, {'lat': -6.148056, 'lon': 106.909414}]",,,11.49,541,100,,,,,,2023-11-19T03:44:00.509Z,2023-11-19T03:49:09.129Z,ID,Jakarta Utara,Blvd Utara Kelapa Gading
739293190,NONE,5,5,"[{'lat': -6.12535, 'lon': 106.876788}, {'lat': -6.125369, 'lon': 106.876571}, {'lat': -6.12514, 'lon': 106.875029}, {'lat': -6.124701, 'lon': 106.872826}]",,,0.0,445,0,1651731884,ROAD_CLOSED_EVENT,Konstruksi,2023-09-24T14:56:57.291Z,2023-09-24T14:56:00.000Z,2023-11-11T00:45:34.589Z,2023-11-19T03:49:10.615Z,ID,Jakarta Utara,Exit ? Warakas
1083856934,NONE,5,5,"[{'lat': -6.361151, 'lon': 106.766833}, {'lat': -6.361279, 'lon': 106.767356}, {'lat': -6.361404, 'lon': 106.767967}, {'lat': -6.361467, 'lon': 106.768559}, {'lat': -6.361548, 'lon': 106.769283}, {'lat': -6.3616, 'lon': 106.769684}]",Depok,Depok,0.0,320,0,1725643606,ROAD_CLOSED_EVENT,,2023-09-30T23:51:41.432Z,2023-09-30T23:51:00.000Z,2023-11-14T07:42:32.675Z,2023-11-19T03:49:09.655Z,ID,Depok,Tol Serpong-Cinere
1819737110,NONE,4,5,"[{'lat': -6.168265, 'lon': 106.835762}, {'lat': -6.168404, 'lon': 106.835625}, {'lat': -6.168827, 'lon': 106.834789}, {'lat': -6.16961, 'lon': 106.833253}]",,,3.57,316,288,,,,,,2023-11-19T02:44:04.752Z,2023-11-19T03:49:10.345Z,ID,Jakarta Pusat,Lapangan Banteng Utara
1820420594,NONE,1,5,"[{'lat': -6.269751, 'lon': 106.858864}, {'lat': -6.269172, 'lon': 106.859155}, {'lat': -6.268881, 'lon': 106.859282}, {'lat': -6.268461, 'lon': 106.859493}, {'lat': -6.267739, 'lon': 106.859899}, {'lat': -6.267605, 'lon': 106.859994}, {'lat': -6.267517, 'lon': 106.860062}, {'lat': -6.266952, 'lon': 106.860415}, {'lat': -6.266727, 'lon': 106.860548}, {'lat': -6.266574, 'lon': 106.860647}, {'lat': -6.265868, 'lon': 106.861091}, {'lat': -6.265422, 'lon': 106.861368}, {'lat': -6.264912, 'lon': 106.861681}, {'lat': -6.263861, 'lon': 106.862293}, {'lat': -6.263655, 'lon': 106.862562}, {'lat': -6.263537, 'lon': 106.862894}, {'lat': -6.263496, 'lon': 106.863228}, {'lat': -6.263484, 'lon': 106.863553}, {'lat': -6.263466, 'lon': 106.864162}, {'lat': -6.263403, 'lon': 106.864403}, {'lat': -6.263344, 'lon': 106.86457}, {'lat': -6.263284, 'lon': 106.864676}, {'lat': -6.263245, 'lon': 106.864708}, {'lat': -6.26319, 'lon': 106.864711}]",,,18.62,1044,79,,,,,,2023-11-19T03:09:26.597Z,2023-11-19T03:49:09.106Z,ID,Jakarta Timur,Condet Raya
1821305052,NONE,4,5,"[{'lat': -6.255651, 'lon': 106.84525}, {'lat': -6.255602, 'lon': 106.843392}, {'lat': -6.255602, 'lon': 106.843115}, {'lat': -6.255586, 'lon': 106.843033}, {'lat': -6.255545, 'lon': 106.842962}]",,,3.85,255,170,,,,,,2023-11-19T03:47:52.818Z,2023-11-19T03:49:10.480Z,ID,Jakarta Selatan,Kalibata Raya
1821261900,NONE,3,5,"[{'lat': -6.202452, 'lon': 106.894268}, {'lat': -6.202386, 'lon': 106.893247}, {'lat': -6.202316, 'lon': 106.892262}, {'lat': -6.202206, 'lon': 106.890367}]",,,10.78,432,88,,,,,,2023-11-19T03:45:17.533Z,2023-11-19T03:49:09.389Z,ID,Jakarta Timur,Cipinang Baru Utara
1820395582,NONE,3,5,"[{'lat': -6.277823, 'lon': 106.746323}, {'lat': -6.277266, 'lon': 106.746096}, {'lat': -6.277091, 'lon': 106.745974}, {'lat': -6.276818, 'lon': 106.74584}, {'lat': -6.276563, 'lon': 106.745743}, {'lat': -6.276083, 'lon': 106.745588}, {'lat': -6.276012, 'lon': 106.745568}, {'lat': -6.275901, 'lon': 106.745538}, {'lat': -6.275317, 'lon': 106.745357}, {'lat': -6.275095, 'lon': 106.745259}, {'lat': -6.274895, 'lon': 106.745144}, {'lat': -6.274381, 'lon': 106.744966}, {'lat': -6.274164, 'lon': 106.744892}, {'lat': -6.273972, 'lon': 106.74481}]",,,9.96,459,87,,,,,,2023-11-19T03:08:11.050Z,2023-11-19T03:49:09.111Z,ID,Tangerang Selatan,WR Supratman
1820899592,NONE,3,5,"[{'lat': -6.330993, 'lon': 106.833546}, {'lat': -6.33098, 'lon': 106.833455}, {'lat': -6.330996, 'lon': 106.833245}, {'lat': -6.331062, 'lon': 106.83238}, {'lat': -6.331129, 'lon': 106.832088}, {'lat': -6.331112, 'lon': 106.831856}, {'lat': -6.331087, 'lon': 106.831663}, {'lat': -6.331116, 'lon': 106.831527}, {'lat': -6.331169, 'lon': 106.831361}, {'lat': -6.331184, 'lon': 106.831035}, {'lat': -6.331236, 'lon': 106.830485}, {'lat': -6.331162, 'lon': 106.829851}, {'lat': -6.331108, 'lon': 106.829642}, {'lat': -6.330983, 'lon': 106.829258}, {'lat': -6.330858, 'lon': 106.828943}, {'lat': -6.330767, 'lon': 106.828684}]",,,8.28,549,165,,,,,,2023-11-19T03:28:37.200Z,2023-11-19T03:49:10.076Z,ID,Jakarta Selatan,Jagakarsa
