jam_id,type,level,severity,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,timestamp_utc,update_datetime_utc,country,city,street
656694252,NONE,2,5,,,16.59,639,67,,,,,,2023-11-26T08:40:57.216Z,2023-11-26T08:50:15.294Z,ID,Jakarta Timur,Munjul Raya
656583496,NONE,4,5,,,5.14,300,162,,,,,,2023-11-26T08:36:58.827Z,2023-11-26T08:50:15.396Z,ID,Jakarta Selatan,Haji Nawi Raya
656942978,NONE,2,5,,,18.15,1301,109,,,,,,2023-11-26T08:50:16.014Z,2023-11-26T08:50:16.014Z,ID,Jakarta Timur,Pondok Ranggon Raya
548662306,NONE,5,5,,,0.0,7,0,129594323,ROAD_CLOSED_EVENT,Di Tutup,2023-10-28T03:53:43.388Z,2023-10-28T03:51:00.000Z,2023-11-25T02:55:32.913Z,2023-11-26T08:50:15.210Z,ID,Jakarta Utara,
656948840,NONE,2,5,,,15.17,860,90,,,,,,2023-11-26T08:50:17.296Z,2023-11-26T08:50:17.296Z,ID,Jakarta Timur,Condet Raya
656028238,NONE,3,5,,,11.87,835,161,,,,,,2023-11-26T08:11:41.462Z,2023-11-26T08:50:15.268Z,ID,Jakarta Timur,Pahlawan Revolusi
656524844,NONE,3,5,,,4.95,344,190,,,,,,2023-11-26T08:33:00.714Z,2023-11-26T08:50:16.437Z,ID,Tangerang Selatan,WR Supratman
1843134694,NONE,5,5,,,0.0,27,0,1132642297,ROAD_CLOSED_EVENT,Di Tutup,2023-08-13T10:01:15.646Z,2023-06-02T16:56:00.000Z,2023-11-06T02:27:23.898Z,2023-11-26T08:50:18.277Z,ID,Jakarta Utara,
656644024,NONE,2,5,,,7.8,296,87,,,,,,2023-11-26T08:38:21.759Z,2023-11-26T08:50:17.939Z,ID,Tangerang,Garuda
656709600,NONE,1,5,,,18.41,1346,90,,,,,,2023-11-26T08:42:17.731Z,2023-11-26T08:50:15.333Z,ID,Tangerang Selatan,Ki Hajar Dewantara
656845500,NONE,1,5,,,19.51,1004,74,,,,,,2023-11-26T08:47:35.606Z,2023-11-26T08:50:16.190Z,ID,Jakarta Selatan,Mohammad Kahfi 1
