jam_id,type,level,severity,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,timestamp_utc,update_datetime_utc,country,city,street
1843134694,NONE,5,5,,,0.0,27,0,1132642297,ROAD_CLOSED_EVENT,Di Tutup,2023-08-13T10:01:15.646Z,2023-06-02T16:56:00.000Z,2023-11-06T02:27:23.898Z,2023-11-26T09:06:12.806Z,ID,Jakarta Utara,
657363876,NONE,4,5,,,4.99,230,145,,,,,,2023-11-26T09:06:14.439Z,2023-11-26T09:06:14.439Z,ID,Tangerang Selatan,RE Martadinata
649873308,NONE,4,5,,,5.88,400,193,,,,,,2023-11-26T03:48:58.846Z,2023-11-26T09:06:11.440Z,ID,Jakarta Barat,Tanjung Duren Barat 1
657363856,NONE,2,5,,,5.16,177,64,,,,,,2023-11-26T09:06:12.379Z,2023-11-26T09:06:12.379Z,ID,Jakarta Selatan,Mampang Prapatan 7
657269298,NONE,2,5,,,15.74,733,75,,,,,,2023-11-26T09:03:31.741Z,2023-11-26T09:06:10.621Z,ID,Jakarta Barat,Srengseng Raya
657326924,NONE,1,5,,,28.78,1545,64,,,,,,2023-11-26T09:04:52.041Z,2023-11-26T09:06:11.739Z,ID,Jakarta Utara,Pelepah Raya
657362882,NONE,3,5,,,10.32,503,111,,,,,,2023-11-26T09:06:11.313Z,2023-11-26T09:06:11.313Z,ID,Jakarta Barat,Panjang Raya
656238164,NONE,3,5,,,3.68,303,242,,,,,,2023-11-26T08:21:02.133Z,2023-11-26T09:06:11.759Z,ID,Jakarta Pusat,Teluk Betung Blvd
1083910546,NONE,5,5,,,0.0,15,0,1133277330,ROAD_CLOSED_EVENT,Konstruksi ~ 15 Des '23,2023-08-13T11:00:37.023Z,2023-07-28T18:00:00.000Z,2023-11-14T07:42:32.829Z,2023-11-26T09:06:11.668Z,ID,Jakarta Timur,Pondok Ranggon Raya
657220550,NONE,2,5,,,16.71,1037,99,,,,,,2023-11-26T09:02:12.896Z,2023-11-26T09:06:10.287Z,ID,Tangerang Selatan,Merpati
657152864,NONE,1,5,,,16.09,1054,75,,,,,,2023-11-26T08:58:15.623Z,2023-11-26T09:06:11.889Z,ID,Depok,Prof Lafran Pane
656813922,NONE,2,5,Jakarta Selatan,Jakarta Selatan,28.44,2159,170,,,,,,2023-11-26T08:44:58.923Z,2023-11-26T09:06:13.273Z,ID,Jakarta Selatan,Tol Semanggi-Kuningan
549703798,NONE,5,5,,,0.0,210,0,90461108,ROAD_CLOSED_EVENT,Perbaikan ~ 12 Des,2023-11-17T03:44:05.052Z,2023-11-17T03:26:00.000Z,2023-11-25T03:12:11.633Z,2023-11-26T09:06:10.521Z,ID,Bekasi,Pangkalan 1
656430980,NONE,3,5,,,12.57,684,127,,,,,,2023-11-26T08:29:02.152Z,2023-11-26T09:06:10.600Z,ID,Jakarta Selatan,RC Veteran
548600850,NONE,5,5,,,0.0,32,0,1734942355,ROAD_CLOSED_EVENT,Di Tutup,2023-10-02T01:41:25.371Z,2023-10-02T01:39:00.000Z,2023-11-25T02:54:05.960Z,2023-11-26T09:06:12.235Z,ID,Jakarta Pusat,
1820752120,NONE,5,5,,,0.0,41,0,115898235,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:21:22.598Z,2023-11-19T03:20:00.000Z,2023-11-19T03:23:29.737Z,2023-11-26T09:06:11.347Z,ID,Depok,Krukut Raya
657369724,NONE,1,5,,,19.13,801,63,,,,,,2023-11-26T09:06:10.792Z,2023-11-26T09:06:10.792Z,ID,Bekasi,Jati Mekar
656681916,NONE,2,5,,,13.04,607,85,,,,,,2023-11-26T08:39:40.024Z,2023-11-26T09:06:12.829Z,ID,Depok,Bungur Raya
657301352,NONE,1,5,,,18.89,940,67,,,,,,2023-11-26T09:04:50.752Z,2023-11-26T09:06:10.400Z,ID,Bekasi,Jati Makmur
657205174,NONE,3,5,,,5.18,210,101,,,,,,2023-11-26T09:00:52.747Z,2023-11-26T09:06:11.426Z,ID,Tangerang,Metro Permata Utama
657369722,NONE,1,5,,,18.91,1031,72,,,,,,2023-11-26T09:06:10.762Z,2023-11-26T09:06:10.762Z,ID,Jakarta Pusat,Cempaka Putih Raya
644843338,NONE,5,5,,,0.0,190,0,1133291348,ROAD_CLOSED_EVENT,Konstruksi,2023-08-13T11:01:01.092Z,2023-01-04T07:19:00.000Z,2023-11-26T01:24:25.273Z,2023-11-26T09:06:14.338Z,ID,Jakarta Barat,Pintu Besar Selatan
739293190,NONE,5,5,,,0.0,445,0,1651731884,ROAD_CLOSED_EVENT,Konstruksi,2023-09-24T14:56:57.291Z,2023-09-24T14:56:00.000Z,2023-11-11T00:45:34.589Z,2023-11-26T09:06:12.482Z,ID,Jakarta Utara,Exit ? Warakas
656997162,NONE,2,5,,,16.6,620,68,,,,,,2023-11-26T08:52:55.301Z,2023-11-26T09:06:10.580Z,ID,Jakarta Selatan,Mohammad Kahfi 2
656252510,NONE,2,5,,,17.56,1210,133,,,,,,2023-11-26T08:22:20.202Z,2023-11-26T09:06:10.402Z,ID,Tangerang Selatan,Benda Raya
1820937298,NONE,5,5,,,0.0,16,0,115919913,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:39.007Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:53.044Z,2023-11-26T09:06:11.635Z,ID,Depok,Krukut Raya
657023544,NONE,2,5,,,16.07,1203,133,,,,,,2023-11-26T08:54:14.451Z,2023-11-26T09:06:10.037Z,ID,Depok,Cinere Raya
657170244,NONE,4,5,,,2.41,373,509,,,,,,2023-11-26T08:59:34.219Z,2023-11-26T09:06:11.515Z,ID,Jakarta Selatan,Lebak Bulus Raya
655969106,NONE,3,5,,,7.5,747,263,,,,,,2023-11-26T08:09:01.668Z,2023-11-26T09:06:10.567Z,ID,Jakarta Selatan,KH Muh Syafi'i Hadzami
657290024,NONE,3,5,,,7.4,621,202,,,,,,2023-11-26T09:03:32.411Z,2023-11-26T09:06:11.237Z,ID,Tangerang Selatan,Cendrawasih
657291830,NONE,3,5,,,5.88,243,99,,,,,,2023-11-26T09:03:32.358Z,2023-11-26T09:06:11.299Z,ID,Jakarta Pusat,Stasiun Senen
656571192,NONE,2,5,,,13.86,1406,214,,,,,,2023-11-26T08:35:39.506Z,2023-11-26T09:06:10.531Z,ID,Tangerang Selatan,Cirendeu Raya
657076040,NONE,3,5,,,11.7,807,157,,,,,,2023-11-26T08:55:35.108Z,2023-11-26T09:06:10.628Z,ID,Tangerang Selatan,DR Setiabudi
657361814,NONE,1,5,,,26.52,1670,96,,,,,,2023-11-26T09:06:10.388Z,2023-11-26T09:06:10.388Z,ID,Jakarta Barat,Panjang Raya
656827326,NONE,4,5,,,6.63,359,153,,,,,,2023-11-26T08:46:15.516Z,2023-11-26T09:06:11.673Z,ID,Jakarta Barat,N1 Daan Mogot
656958060,NONE,2,5,,,16.26,962,110,,,,,,2023-11-26T08:55:34.567Z,2023-11-26T09:06:10.329Z,ID,Jakarta Selatan,Cipete Raya
548692126,NONE,5,5,,,0.0,192,0,1133283003,ROAD_CLOSED_EVENT,Penutupan karena pembangunan MRT,2023-08-13T11:00:47.856Z,2022-12-14T17:00:00.000Z,2023-11-25T02:55:39.168Z,2023-11-26T09:06:11.030Z,ID,Jakarta Pusat,Jalan Museum
657220582,NONE,2,5,,,17.05,885,83,,,,,,2023-11-26T09:02:13.724Z,2023-11-26T09:06:12.177Z,ID,Jakarta Barat,Kemanggisan Raya
657168290,NONE,2,5,,,9.96,572,99,,,,,,2023-11-26T08:59:34.146Z,2023-11-26T09:06:10.959Z,ID,Tangerang Selatan,Hutama Karya
1820907920,NONE,5,5,,,0.0,80,0,115920384,ROAD_CLOSED_EVENT,Perbaikan  ~ Akhir Nov,2023-11-19T03:27:38.799Z,2023-11-19T03:20:00.000Z,2023-11-19T03:29:52.970Z,2023-11-26T09:06:11.569Z,ID,Depok,Krukut Raya
657089440,NONE,2,5,,,12.51,504,83,,,,,,2023-11-26T08:56:54.049Z,2023-11-26T09:06:10.262Z,ID,Jakarta Selatan,Harsono RM
657263438,NONE,3,5,,,16.79,659,97,,,,,,2023-11-26T09:03:31.743Z,2023-11-26T09:06:10.582Z,ID,Jakarta Selatan,Flyover Lenteng Agung
657121890,NONE,1,5,,,20.76,1430,105,,,,,,2023-11-26T08:56:54.708Z,2023-11-26T09:06:11.696Z,ID,Gunung Sindur,Pendidikan
657242982,NONE,2,5,,,16.49,620,62,,,,,,2023-11-26T09:02:13.567Z,2023-11-26T09:06:11.828Z,ID,Jakarta Timur,Haji Naman
657370720,NONE,2,5,,,5.1,307,114,,,,,,2023-11-26T09:06:12.764Z,2023-11-26T09:06:12.764Z,ID,Jakarta Pusat,Jalan Lombok
657222606,NONE,2,5,,,13.76,1410,206,,,,,,2023-11-26T09:02:12.739Z,2023-11-26T09:06:10.978Z,ID,Jakarta Barat,Utan Jati
657244026,NONE,3,5,,,5.0,204,72,,,,,,2023-11-26T09:02:15.035Z,2023-11-26T09:06:13.272Z,ID,Jakarta Barat,Tanjung Duren Timur 4
657150864,NONE,1,5,,,19.07,1770,121,,,,,,2023-11-26T08:58:14.775Z,2023-11-26T09:06:10.626Z,ID,Jakarta Timur,Pulo Gebang Raya
657364736,NONE,3,5,,,10.82,1249,275,,,,,,2023-11-26T09:06:10.546Z,2023-11-26T09:06:10.546Z,ID,Bekasi,Hankam Raya
1743271644,NONE,5,5,,,0.0,137,0,1845039622,ROAD_CLOSED_EVENT,Konstruksi,2023-10-12T06:03:43.022Z,2023-10-12T06:03:00.000Z,2023-10-12T06:06:07.182Z,2023-11-26T09:06:12.432Z,ID,Jakarta Pusat,Gajah Mada
657364742,NONE,2,5,,,18.89,1840,167,,,,,,2023-11-26T09:06:10.548Z,2023-11-26T09:06:10.548Z,ID,Tangerang,HOS Cokroaminoto
657059652,NONE,3,5,,,5.51,238,125,,,,,,2023-11-26T08:54:15.369Z,2023-11-26T09:06:11.548Z,ID,Jakarta Utara,Kelapa Nias Raya
90224984,NONE,5,5,,,0.0,40,0,1309941621,ROAD_CLOSED_EVENT,konstruksi,2023-08-26T11:18:53.961Z,2023-08-26T11:18:00.000Z,2023-11-24T02:48:12.499Z,2023-11-26T09:06:12.240Z,ID,Jakarta Barat,
657021772,NONE,3,5,,,4.81,259,154,,,,,,2023-11-26T08:52:55.633Z,2023-11-26T09:06:11.514Z,ID,Tangerang Selatan,Bukit Indah Raya
